article_id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index,wikidata_id,name_de,description_en,description_de
9331,Euclid,Male,-325,Other,,Unknown,,,,Mathematician,Math,Science & Technology,117,10896731,93134,29.8846,Q8747,Euklid,ancient Greek mathematician (fl. 300 BC),griechischer Mathematiker
32359,Virgil,Male,-70,Mantua,,Italy,Europe,45.11667,10.78333,Writer,Language,Humanities,114,9154149,80300,29.8811,Q1398,Vergil,Roman poet (1st century BC),römischer Dichter
21632,Nero,Male,37,Anzio,,Italy,Europe,41.44795,12.62905,Politician,Government,Institutions,79,18309769,231769,29.8599,Q1413,Nero,fifth and last Roman Emperor of Julio-Claudian dynasty (54–68),"fünfter römischer Kaiser, letzter Vertreter der julisch-claudischen Dynastie"
30072,Thales,Male,-635,Miletus,,Turkey,Asia,37.53028,27.27833,Philosopher,Philosophy,Humanities,84,14460625,172150,29.8485,Q36303,Thales,ancient Greek philosopher and mathematician,"griechischer Philosoph, Mathematiker und Astronom"
16743,Karl Marx,Male,1818,Trier,,Germany,Europe,49.75,6.63333,Economist,Social Sciences,Science & Technology,148,46599942,314864,29.8429,Q9061,Karl Marx,German-born philosopher (1818-1883),"deutscher Philosoph, Ökonom und Journalist (1818–1883)"
19334,Marco Polo,Male,1254,Republic of Venice,,Italy,Europe,45.43333,12.31667,Explorer,Explorers,Exploration,127,17773989,139953,29.7719,Q6101,Marco Polo,Venetian explorer and merchant who travelled through Asia (1254–1324),venezianischer Händler und Asienreisender
6046,Cicero,Male,-106,Arpino,,Italy,Europe,,,Politician,Government,Institutions,83,13649824,164456,29.7426,Q1541,Marcus Tullius Cicero,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)","römischer Politiker, Anwalt, Schriftsteller und Philosoph"
26984,Sophocles,Male,-496,Athens,,Greece,Europe,37.99583,23.71528,Writer,Language,Humanities,100,8948030,89480,29.7421,Q7235,Sophokles,ancient Greek playwright,klassischer griechischer Dichter
32603,Vincent van Gogh,Male,1853,Zundert,,Netherlands,Europe,51.46667,4.66667,Painter,Fine Arts,Arts,155,45449125,293220,29.7384,Q5582,Vincent van Gogh,Dutch painter (1853–1890),niederländischer Maler und Zeichner (1853–1890)
17414699,Genghis Khan,Male,1162,Delüün Boldog,,Mongolia,Asia,,,Military Personnel,Military,Institutions,121,27565467,227814,29.7353,Q720,Dschingis Khan,founder and first khan of the Mongol Empire (1162–1227),"Khan der Mongolen, der weite Teile Zentralasiens und Nordchinas eroberte (1162–1227)"
44406,Zoroaster,Male,-600,Airyanem Vaejah,,Afghanistan,Asia,,,Writer,Language,Humanities,86,7010219,81514,29.7245,Q35811,Zarathustra,founder of Zoroastrianism,"Priester, Religionsstifter des Zoroastrismus"
13959,Hannibal Barca,Male,-248,Carthage,,Tunisia,Africa,36.85806,10.33083,Politician,Government,Institutions,86,18246118,212164,29.6911,Q36456,Hannibal,Carthaginian general (247–183/181 BC),karthagischer Feldherr
14631,Immanuel Kant,Male,1724,Kaliningrad,,Russia,Europe,54.71667,20.51667,Philosopher,Philosophy,Humanities,125,28745025,229960,29.6882,Q9312,Immanuel Kant,German philosopher (1724-1804),deutscher Philosoph der Aufklärung (1724–1804)
13486,Hippocrates,Male,-460,Kos,,Greece,Europe,36.85,27.23333,Physician,Medicine,Science & Technology,93,10097815,108579,29.6361,Q5264,Hippokrates von Kos,Greek physician (c. 460 – c. 370 BC),Arzt des Altertums
26743,Sigmund Freud,Male,1856,Příbor,,Czech Republic,Europe,49.63861,18.14389,Psychologist,Social Sciences,Science & Technology,134,43475930,324447,29.6293,Q9215,Sigmund Freud,Austrian neurologist and founder of psychoanalysis (1856–1939),österreichischer Begründer der Psychoanalyse
24176,Pablo Picasso,Male,1881,Málaga,,Spain,Europe,36.71944,-4.42,Painter,Fine Arts,Arts,143,56598798,395796,29.5957,Q5593,Pablo Picasso,Spanish painter and sculptor (1881–1973),"spanischer Maler, Grafiker und Bildhauer (1881–1973)"
90050,Nefertiti,Female,-1370,Thebes,,Egypt,Africa,25.72056,32.61028,Companion,Companions,Public Figure,74,9660479,130547,29.5711,Q40930,Nofretete,"Egyptian queen and Great Royal Wife (chief consort) of Akhenaten, an Egyptian Pharaoh",Altägyptische Königin der 18. Dynastie
28329,Solomon,Male,-1000,Jerusalem,,Israel,Asia,31.78333,35.21667,Religious Figure,Religion,Institutions,79,13359813,169112,29.5649,Q37085,Salomo,king of Israel and son of David,König von Israel und Juda
16509,Jeanne d'Arc,Female,1412,Domrémy-la-Pucelle,,France,Europe,48.4431,5.6758,Military Personnel,Military,Institutions,104,27928806,268546,29.5566,Q7226,Johanna von Orléans,"French folk heroine (1412–1431), military leader who crowned Charles VII and Roman Catholic saint, canonized 500 years after her death",französische Nationalheldin und Heilige der katholischen und der anglikanischen Kirche
99598,Qin Shi Huang,Male,-259,Handan,,China,Asia,36.6,114.48333,Politician,Government,Institutions,144,9197875,63874,29.5192,Q7192,Qin Shihuangdi,first emperor of Qin Dynasty,Gründer der chinesischen Qin-Dynastie sowie des chinesischen Kaiserreiches
20012109,Aesop,Male,-620,Other,,Unknown,,39.02056,31.28917,Writer,Language,Humanities,69,7898719,114474,29.4989,Q43423,Äsop,ancient Greek storyteller (619 BC–563 BC),griechischer Dichter von Fabeln und Gleichnissen
10073,Epicurus,Male,-341,Samos Island,,Greece,Europe,37.75,26.83333,Philosopher,Philosophy,Humanities,68,8895085,130810,29.4762,Q43216,Epikur,ancient Greek philosopher,Philosoph der Antike
6852,Caligula,Male,12,Anzio,,Italy,Europe,41.44795,12.62905,Politician,Government,Institutions,76,17137539,225494,29.4536,Q1409,Caligula,third Roman emperor (37–41),dritter römischer Kaiser
25525,René Descartes,Male,1596,Descartes,Indre-et-Loire,France,Europe,46.9744,0.6986,Philosopher,Philosophy,Humanities,120,26370301,219753,29.4481,Q9191,René Descartes,"French philosopher, mathematician, and scientist (1596–1650)","französischer Philosoph, Mathematiker und Naturwissenschaftler"
21490957,Thomas Aquinas,Male,1225,Roccasecca,,Italy,Europe,41.55,13.66667,Philosopher,Philosophy,Humanities,103,17427900,169203,29.4352,Q9438,Thomas von Aquin,"Italian Dominican friar, philosopher, Catholic priest, and Doctor of the Church (1225–1274)",mittelalterlicher Philosoph und Theologe
30437,Tutankhamun,Male,-1341,Ancient Egypt,,Egypt,Africa,,,Politician,Government,Institutions,75,17640463,235206,29.3953,Q12154,Tutanchamun,14th century BCE (18th dynasty) Egyptian pharaoh,altägyptischer König (Pharao) im 14. Jahrhundert v. Chr./der 18. Dynastie
73513,Mary,Female,-18,Nazareth,,Israel,Asia,32.70194,35.30333,Religious Figure,Religion,Institutions,100,4043545,40435,29.3919,Q345,Maria,mother of Jesus Christ,Mutter Jesu
19242322,Johann Wolfgang von Goethe,Male,1749,Frankfurt,,Germany,Europe,,,Writer,Language,Humanities,132,20958901,158780,29.3385,Q5879,,"German writer, artist, natural scientist and politician (1749–1832)","deutscher Dichter, Dramatiker, Naturforscher und Politiker (1749–1832)"
20155,Marcus Aurelius,Male,121,Rome,,Italy,Europe,41.9,12.5,Politician,Government,Institutions,73,11839877,162190,29.3305,Q1430,Mark Aurel,16th Roman Emperor from 161 to 180 and Stoic philosopher,römischer Kaiser und Philosoph (121-180)
32375,Voltaire,Male,1694,Paris,,France,Europe,48.8567,2.3508,Writer,Language,Humanities,112,27632624,246720,29.2732,Q9068,Voltaire,"French writer, historian and philosopher (1694–1778)","Autor, Historiker und Philosoph der französischen und europäischen Aufklärung (1694–1778)"
37802,Ovid,Male,-43,Sulmona,,Italy,Europe,42.03333,13.93333,Writer,Language,Humanities,88,7030681,79894,29.2723,Q7198,Ovid,Roman poet (43 BC – 17/18 AD),römischer Dichter
21444,Niccolò Machiavelli,Male,1469,Florence,,Italy,Europe,43.78333,11.25,Philosopher,Philosophy,Humanities,106,22390820,211234,29.2668,Q1399,Niccolò Machiavelli,Italian diplomat and political and military theorist (1469–1527),florentinischer Politiker und Diplomat
4068,Blaise Pascal,Male,1623,Clermont-Ferrand,,France,Europe,45.7831,3.0824,Mathematician,Math,Science & Technology,103,17297105,167933,29.2544,Q1290,Blaise Pascal,"French mathematician, physicist, inventor, writer, and Christian philosopher (1623-1662)","französischer Mathematiker, Physiker, Literat, Theologe und Philosoph"
